season,week,team,pa
2024,5,GB,19
2024,5,IND,37
2024,5,LV,34
2024,5,MIA,10
2024,5,NO,26
2024,5,NYG,20
2024,5,NYJ,23
2024,5,TB,36
2024,6,ARI,34
2024,6,ATL,20
2024,6,BUF,20
2024,6,CIN,7
2024,6,CLE,20
2024,6,DET,9
2024,6,HOU,21
2024,6,IND,17
2024,6,JAX,35
2024,6,LAC,16
2024,6,PIT,13
2024,6,SF,24
2024,6,TB,27
2024,6,WAS,30
2024,7,BAL,31
2024,7,CAR,40
2024,7,CIN,14
2024,7,DEN,10
2024,7,DET,29
2024,7,HOU,24
2024,7,KC,18
2024,7,LAC,17
2024,7,LV,20
2024,7,MIA,16
2024,7,NE,32
2024,7,NYJ,37
2024,7,PHI,3
2024,7,SEA,14
2024,7,TEN,34
2024,8,ARI,27
2024,8,ATL,26
2024,8,BAL,29
2024,8,BUF,10
2024,8,CAR,28
2024,8,CHI,18
2024,8,DAL,30
2024,8,GB,27
2024,8,IND,23
2024,8,KC,20
2024,8,MIN,30
2024,8,NO,26
2024,8,NYG,26
2024,8,NYJ,25
2024,8,PHI,17
2024,8,TEN,52
2024,9,CHI,29
2024,9,DAL,27
2024,9,DEN,41
2024,9,DET,14
2024,9,HOU,21
2024,9,IND,21
2024,9,JAX,28
2024,9,LAC,10
2024,9,LA,20
2024,9,LV,41
2024,9,MIA,30
2024,9,NE,20
2024,9,NO,23
2024,9,TB,30
2024,9,WAS,22
2024,10,ATL,20
2024,10,BUF,20
2024,10,CIN,35
2024,10,DEN,16
2024,10,DET,23
2024,10,MIA,15
2024,10,MIN,7
2024,10,NE,3
2024,10,NYG,20
2024,10,NYJ,31
2024,10,PHI,6
2024,10,PIT,27
2024,10,SF,20
2024,10,TEN,27
2024,11,ATL,38
2024,11,BAL,18
2024,11,CIN,34
2024,11,CLE,35
2024,11,GB,19
2024,11,HOU,10
2024,11,IND,27
2024,11,JAX,52
2024,11,KC,30
2024,11,LA,22
2024,11,LV,34
2024,11,MIN,13
2024,11,SEA,17
2024,11,WAS,26
2024,12,ARI,16
2024,12,BAL,23
2024,12,DAL,26
2024,12,DEN,19
2024,12,DET,6
2024,12,KC,27
2024,12,MIN,27
2024,12,NE,34
2024,12,PHI,20
2024,12,PIT,24
2024,12,SF,38
2024,12,TB,7
2024,12,TEN,27
2024,13,ARI,23
2024,13,CHI,23
2024,13,CLE,41
2024,13,HOU,20
2024,13,IND,24
2024,13,LAC,13
2024,13,LA,14
2024,13,LV,19
2024,13,MIA,30
2024,13,NYG,27
2024,13,PHI,19
2024,13,PIT,38
2024,13,SEA,21
2024,13,SF,35
2024,13,TB,23
2024,13,TEN,42
2024,14,ATL,42
2024,14,BUF,44
2024,14,CAR,22
2024,14,CHI,38
2024,14,CIN,20
2024,14,CLE,27
2024,14,GB,34
2024,14,JAX,6
2024,14,LAC,19
2024,14,LV,28
2024,14,NO,11
2024,14,NYJ,32
2024,14,SEA,18
2024,15,ATL,9
2024,15,BAL,14
2024,15,BUF,42
2024,15,CHI,30
2024,15,CIN,27
2024,15,DAL,14
2024,15,GB,13
2024,15,IND,31
2024,15,KC,7
2024,15,LA,6
2024,15,MIA,20
2024,15,NE,30
2024,15,NYJ,25
2024,15,PIT,27
2024,15,TB,17
2024,15,WAS,19
2024,16,ARI,36
2024,16,CLE,24
2024,16,DEN,34
2024,16,DET,17
2024,16,HOU,27
2024,16,JAX,19
2024,16,LA,9
2024,16,MIN,24
2024,16,NE,24
2024,16,NO,34
2024,16,NYG,34
2024,16,PHI,36
2024,16,PIT,34
2024,16,SF,29
2024,16,TB,26
2024,16,TEN,38
2024,17,ARI,13
2024,17,ATL,30
2024,17,BAL,2
2024,17,CAR,48
2024,17,DAL,41
2024,17,DEN,30
2024,17,DET,34
2024,17,GB,27
2024,17,IND,45
2024,17,KC,10
2024,17,LAC,7
2024,17,LV,10
2024,17,MIA,3
2024,17,NYJ,40
2024,17,SEA,3
2024,17,TEN,20
2024,18,BUF,23
2024,18,CAR,38
2024,18,CHI,22
2024,18,CIN,17
2024,18,CLE,35
2024,18,HOU,14
2024,18,JAX,26
2024,18,KC,38
2024,18,LAC,20
2024,18,MIA,32
2024,18,MIN,31
2024,18,NO,27
2024,18,NYG,20
2024,18,SEA,25
2024,18,SF,47
2024,18,WAS,19
2025,1,NO,20
2025,1,BUF,40
2025,1,JAX,10
2025,1,CLE,17
2025,1,PHI,20
2025,1,GB,13
2025,1,LA,9
2025,1,LAC,21
2025,1,NE,20
2025,1,IND,8
2025,1,CHI,27
2025,1,WAS,6
2025,1,NYJ,34
2025,1,SEA,17
2025,1,ATL,23
2025,1,DEN,12
2025,2,MIN,22
2025,2,NYJ,30
2025,2,ARI,22
2025,2,DET,21
2025,2,BAL,17
2025,2,IND,28
2025,2,CIN,27
2025,2,LV,20
2025,2,TEN,33
2025,2,MIA,33
2025,2,DAL,37
2025,2,KC,20
2025,2,PIT,31
2025,2,NO,26
2025,2,HOU,20
2025,2,GB,18
2025,3,SF,15
2025,3,CAR,0
2025,3,MIN,10
2025,3,CHI,14
2025,3,LAC,20
2025,3,BAL,38
2025,3,CLE,10
2025,3,JAX,10
2025,3,TEN,41
2025,3,NYG,22
2025,3,PHI,26
2025,3,WAS,24
2025,3,BUF,21
2025,3,SEA,13
2025,3,TB,27
2025,3,NE,21
2025,4,KC,20
2025,4,NE,13
2025,4,LV,25
2025,4,DEN,3
2025,4,DET,10
2025,4,DAL,40
2025,4,LA,20
2025,4,SF,26
2025,4,NYG,18
2025,4,PIT,21
2025,4,BUF,19
2025,4,MIA,21
2025,4,TB,31
2025,4,ARI,23
2025,4,HOU,0
2025,4,ATL,27
2025,5,NYJ,37
2025,5,PHI,21
2025,5,CIN,37
2025,5,BAL,44
2025,5,JAX,28
2025,5,IND,6
2025,5,CAR,24
2025,5,CLE,21
2025,5,BUF,23
2025,5,NO,14
2025,5,LA,26
2025,5,SEA,38
2025,5,ARI,22
2025,5,LAC,27
2025,6,IND,27
2025,6,ATL,14
2025,6,WAS,25
2025,6,GB,18
2025,6,PIT,9
2025,6,CAR,27
2025,6,NYJ,13
2025,6,KC,17
2025,6,MIA,29
2025,6,BAL,17
2025,6,NO,25
2025,6,NYG,17
2025,6,JAX,20
2025,6,TB,19
2025,6,LV,10
2025,7,SF,10
2025,7,NYJ,13
2025,7,ARI,27
2025,7,SEA,19
2025,7,LAC,38
2025,7,JAX,35
2025,7,KC,0
2025,7,CLE,6
2025,7,TEN,31
2025,7,CHI,14
2025,7,DEN,32
2025,7,MIN,28
2025,7,CIN,31
2025,7,DET,9
2025,7,DAL,22
2025,8,CAR,40
2025,8,BAL,16
2025,8,NE,13
2025,8,DEN,24
2025,8,PIT,35
2025,8,ATL,34
2025,8,LAC,10
2025,8,PHI,20
2025,8,CIN,39
2025,8,HOU,15
2025,8,NO,23
2025,8,IND,14
2025,8,KC,7
2025,9,DAL,27
2025,9,NE,23
2025,9,MIA,28
2025,9,GB,16
2025,9,CIN,47
2025,9,HOU,18
2025,9,PIT,20
2025,9,LV,30
2025,9,BUF,21
2025,9,TEN,27
2025,9,DET,27
2025,9,LA,10
2025,9,WAS,38
