player,pos,team,ecr,sd,bye,age,gsis_id,proj_ppg,exp_games,proj_pts,proj_sd,ratio,ratio_raw,raw_games,market_std_pts,replacement,vorp,vorp_rank
Tyrone Tracy Jr.,RB,NYG,173.85,41.6,8.0,26.78713210130048,00-0039384,9.463042644149972,15.6,147.62346524873956,75.1233174875458,1.1201607704995937,1.1348003497522587,32.0,131.78774791666666,196.1036845952354,-48.48021934649583,339
Joey Slye,K,TEN,295.14,72.38,9.0,30.40657084188912,00-0035192,5.416666666666667,16.0,86.66666666666667,24.0,,,,,136.66666666666666,-49.999999999999986,340
Evan Engram,TE,DEN,255.13,26.31,10.0,32.01095140314853,00-0033881,7.1279392712588425,14.9,106.20629514175675,43.752860242527426,1.0603051532358734,1.0573828679602462,42.0,100.16578229166666,156.53779939513723,-50.33150425338047,341
Braelon Allen,RB,NYJ,177.59,28.87,13.0,22.628336755646817,00-0039794,9.299628773915355,15.6,145.07420887307953,74.9852393771508,1.1061806626263886,1.0870646766169154,21.0,131.14874791666665,196.1036845952354,-51.029475722155865,342
Tampa Bay Buccaneers,DST,TB,303.05,58.49,10.0,,,3.8656249999999996,16.0,61.849999999999994,30.0,,,,,113.56666666666666,-51.71666666666667,343
Colby Parkinson,TE,LAR,266.14,18.64,11.0,27.66050650239562,00-0036244,6.947005446894381,14.9,103.51038115872628,43.5556831702966,1.0590268869868638,1.0486570650058389,43.0,97.74103229166667,156.53779939513723,-53.02741823641095,344
Brian Robinson Jr.,RB,ATL,182.38,25.04,11.0,27.460643394934976,00-0037746,9.165803694534015,15.6,142.98653763473064,74.87376864963535,1.118727659745002,1.1284490960989533,45.0,127.81174791666668,196.1036845952354,-53.117146960504755,345
Darren Waller,TE,CAR,268.11,31.25,5.0,33.97946611909651,00-0031610,6.901332915726705,14.9,102.8298604443279,43.506573216613646,1.0602570605151822,1.0557206537890045,20.0,96.98578229166667,156.53779939513723,-53.70793895080932,346
Mason Taylor,TE,NYJ,276.24,24.22,13.0,22.32991101984942,00-0040736,6.802257585919534,14.9,101.35363803020107,43.40096708453339,1.0611276109995496,1.0646794150731163,13.0,95.51503229166666,156.53779939513723,-55.18416136493616,347
Emmett Johnson,RB,KC,183.79,37.82,5.0,22.90759753593429,00-0041013,8.915269183983927,15.6,139.07819927014927,74.6689954830702,1.113193341318489,,,124.93624791666666,196.1036845952354,-57.02548532508612,348
C.J. Stroud,QB,HOU,143.15,13.02,8.0,24.92539356605065,00-0039163,15.364523487646249,15.8,242.75947110481076,95.64221669501627,1.1539572769722006,1.1915907736828668,46.0,210.37128145833336,299.89636725074035,-57.1368961459296,349
Mike Gesicki,TE,CIN,277.84,21.71,6.0,30.92676249144421,00-0034829,6.670857218285982,14.9,99.39577255246114,43.26287354696733,1.0629693378204141,1.0756484149855907,43.0,93.50765729166667,156.53779939513723,-57.14202684267609,350
Kalel Mullings,RB,TEN,333.67,37.51,9.0,23.923340177960306,00-0040205,8.778052160043801,15.6,136.9376136966833,74.55901548530049,1.1542766982882489,1.7142857142857146,3.0,118.63499791666666,196.1036845952354,-59.16607089855211,351
Ray Davis,RB,BUF,190.37,33.25,7.0,26.819986310746064,00-0039875,8.76878720893663,15.6,136.7930804594114,74.55164527239843,1.1203708778403711,1.136337543053961,29.0,122.09624791666667,196.1036845952354,-59.31060413582398,352
Isiah Pacheco,RB,DET,192.34,43.37,6.0,27.515400410677618,00-0037197,8.678164270186736,15.6,135.37936261491308,74.47992761327266,1.1131615229285345,1.1130969003071767,34.0,121.61699791666666,196.1036845952354,-60.724321980322316,353
Charlie Kolar,TE,LAC,283.6,36.28,7.0,27.57015742642026,00-0038046,6.4196016479340345,14.9,95.65206455421712,43.00514207337006,1.0608127860306646,1.0609048723897911,24.0,90.16865729166666,156.53779939513723,-60.88573484092011,354
Kimani Vidal,RB,LAC,200.45,36.2,7.0,25.02395619438741,00-0039391,8.637783854467875,15.6,134.74942812969886,74.44818906484952,1.1358320099128887,1.197543160690571,21.0,118.63499791666666,196.1036845952354,-61.35425646553654,355
Chad Ryland,K,ARI,296.33,75.99,14.0,26.89390828199863,00-0038567,4.6875,16.0,75.0,24.0,,,,,136.66666666666666,-61.66666666666666,356
James Conner,RB,ARI,219.9,42.06,14.0,31.34017796030116,00-0033553,8.613397700566548,15.6,134.36900412883816,74.42908699459724,1.1326253339105177,1.173454768726975,32.0,118.63499791666666,196.1036845952354,-61.734680466397236,357
Malik Davis,RB,DAL,237.71,49.86,14.0,27.7782340862423,00-0037563,8.59216500640824,15.6,134.03777409996854,74.41249508383696,1.1298333245145866,1.2155172413793103,9.0,118.63499791666666,196.1036845952354,-62.06591049526685,358
Jaylen Wright,RB,MIA,238.65,26.54,6.0,23.43326488706365,00-0039874,8.58466963004703,15.6,133.92084622873367,74.406646853367,1.1288477142538016,1.17022696929239,22.0,118.63499791666666,196.1036845952354,-62.18283836650173,359
