vorp_rank,player,pos,team,ecr,ratio,proj_pts,proj_sd,vorp,replacement,bye,age
196,Indianapolis Colts,DST,IND,280.47,,79.28333333333332,30.0,-34.283333333333346,113.56666666666666,13.0,
197,Deebo Samuel Sr.,WR,SF,140.72,1.0866249698998924,161.72584656828246,63.60119213825899,-35.385129898087,197.11097646636944,8.0,30.64202600958248
198,Las Vegas Raiders,DST,LV,281.5,,77.14999999999999,30.0,-36.41666666666667,113.56666666666666,13.0,
199,Gunnar Helm,TE,TEN,220.35,1.0543766905103826,121.014932527133,44.90845086952398,-36.67684982605911,157.6917823531921,9.0,24.0
200,Tyreek Hill,WR,FA,283.42,1.1237262804611952,160.15004446727056,63.4874323699778,-36.9609319990989,197.11097646636944,,32.51745379876797
201,Brandon McManus,K,FA,290.2,,99.66666666666669,24.0,-36.99999999999999,136.66666666666666,,35.11841204654346
202,Rashid Shaheed,WR,SEA,146.98,1.0869985065999808,159.96213182161745,63.47392745389092,-37.14884464475202,197.11097646636944,11.0,28.0164271047228
203,Brandon Aiyuk,WR,SF,279.1,1.1216033963609375,159.84749749567567,63.46569528506013,-37.2634789706938,197.11097646636944,8.0,28.47364818617385
204,Jonah Coleman,RB,DEN,149.36,1.113193341318489,156.8219445340953,75.63929326588551,-37.35847995907912,194.18042449317443,10.0,23.04722792607803
205,Kenyon Sadiq,TE,NYJ,223.91,1.0608006165282853,119.93905816255928,44.82048031137275,-37.75272419063283,157.6917823531921,13.0,21.508555783709788
206,Denzel Boston,WR,CLE,153.85,1.0842971096214584,159.18867526844338,63.4184774608049,-37.92230119792609,197.11097646636944,11.0,22.751540041067763
207,Dylan Sampson,RB,CLE,148.97,1.1013746686203498,156.13445019676325,75.59977603917545,-38.04597429641117,194.18042449317443,11.0,21.976728268309376
208,Ashton Dulin,WR,IND,337.47,1.1091900042114675,158.07837868151805,63.339264774815085,-39.03259778485142,197.11097646636944,13.0,29.31143052703628
209,Tyler Shough,QB,NO,125.2,1.1532874144426384,263.8829049786187,97.14542567331978,-39.21476318919457,303.09766816781325,8.0,26.94045174537988
210,Ryan Flournoy,WR,DAL,185.74,1.1064450752343298,157.6871797700111,63.31146380425268,-39.42379669635835,197.11097646636944,14.0,26.86105407255305
211,Mike Washington Jr.,RB,LV,152.53,1.113193341318489,154.4271316989168,75.50230191574636,-39.75329279425762,194.18042449317443,13.0,23.17864476386037
212,Tank Dell,WR,HOU,226.41,1.1013571064598282,156.96205796797398,63.26008229980629,-40.14891849839549,197.11097646636944,8.0,26.855578370978783
213,Calvin Ridley,WR,TEN,209.81,1.1002974102377547,156.81103329226983,63.24940538529344,-40.29994317409961,197.11097646636944,9.0,31.71252566735113
214,Sam Darnold,QB,SEA,138.31,1.218565282452846,262.5495611970563,97.04754795988268,-40.548106970756976,303.09766816781325,11.0,29.253935660506503
215,Darius Slayton,WR,NYG,272.71,1.0977886554236609,156.45349320264077,63.224162357353805,-40.65748326372869,197.11097646636944,8.0,29.648186173853524
216,Cooper Kupp,WR,SEA,225.03,1.0975891981965469,156.4250671665615,63.222157464499446,-40.685909299807975,197.11097646636944,11.0,33.22655715263518
217,Tre Tucker,WR,LV,159.03,1.081236314050474,156.33504185026672,63.21580994914063,-40.775934616102745,197.11097646636944,13.0,25.49760438056126
218,Keaton Mitchell,RB,LAC,152.54,1.1182228555165985,153.32260850310251,75.43974723766783,-40.85781599007191,194.18042449317443,7.0,24.635181382614647
219,Jerry Jeudy,WR,CLE,170.19,1.0960952182209218,156.21214969396192,63.20714992573843,-40.898826772407546,197.11097646636944,11.0,27.370294318959616
220,Odell Beckham Jr.,WR,NYG,321.36,1.095957249702646,156.19248684125378,63.20576483633769,-40.91848962511568,197.11097646636944,8.0,33.83436002737851
